,ARE,AUS,AUT,BRA,CAN,CHE,CHN,DEU,EGY,ESP,FIN,FRA,GBR,IND,IRL,IRN,ISR,ITA,JPN,KOR,MEX,MYS,NLD,NOR,PAK,PRK,PRT,PSE,RUS,SAU,SWE,SYR,TUR,UKR,USA
Nov-2013,4.88107577230901,2.6064342480063485,0.1501651311492549,2.5144566048948938,2.4331965539181466,1.9015042959006085,7.699407658238724,0.7850328969101708,2.328690725573958,-0.8544953512032173,-0.7964437359374366,0.6508083174384126,2.0675105001652065,6.586914480186342,2.675474051084012,-0.24614503395406717,4.318173215894982,-1.4809639001925503,1.670022791943194,3.172109647864342,1.1759568424451394,4.951173392246204,0.17444641420709256,1.2185322308492141,4.317759779554527,,-0.586402522291956,3.7463274113306464,1.5555878493356647,2.785100726285571,1.476015433437455,-23.164843004162357,7.790502911203896,-1.9397244503284707,2.1974359257124525
Dec-2013,4.811282218000738,2.60652856838478,0.20002929873006955,2.3183101790751235,2.476149745911493,1.945248391430916,7.672710682442177,0.9240095344163706,2.385980594349997,-0.6349567445219522,-0.7543427038344737,0.6806009745050609,2.177585813868037,6.667237711891488,3.275817921934645,0.26418863444095786,4.279241867301278,-1.3369232799165782,1.5359918380114315,3.175070052421343,1.3054989556589445,5.054153738913114,0.29629509526989717,1.2994687935518117,4.29811767146279,,-0.45190566139758326,3.365430429653969,1.4756541295727386,2.8852297082505878,1.5913113204500369,-21.910745141224858,7.51237727707335,-2.7337898682569417,2.2292782563180493
Jan-2014,4.741488663692465,2.6066228887632112,0.2498934663108842,2.122163753255353,2.5191029379048397,1.9889924869612234,7.64601370664563,1.0629861719225704,2.4432704631260362,-0.41541813784068715,-0.7122416717315105,0.710393631571709,2.2876611275708676,6.747560943596633,3.876161792785278,0.7745223028359829,4.240310518707575,-1.1928826596406064,1.401960884079669,3.1780304569783437,1.4350410688727493,5.157134085580024,0.41814377633270183,1.3804053562544094,4.278475563371052,,-0.3174088005032104,2.9845334479772916,1.3957204098098126,2.9853586902156044,1.7066072074626188,-20.65664727828736,7.234251642942804,-3.527855286185413,2.261120586923646
Feb-2014,4.671695109384193,2.6067172091416424,0.2997576338916988,1.9260173274355825,2.5620561298981865,2.032736582491531,7.619316730849084,1.2019628094287704,2.5005603319020757,-0.19587953115942192,-0.6701406396285476,0.7401862886383572,2.397736441273698,6.827884175301778,4.476505663635911,1.2848559712310081,4.201379170113871,-1.0488420393646343,1.2679299301479063,3.1809908615353444,1.5645831820865543,5.260114432246934,0.5399924573955064,1.461341918957007,4.258833455279315,,-0.18291193960883767,2.6036364663006144,1.3157866900468864,3.0854876721806206,1.8219030944752008,-19.40254941534986,6.956126008812259,-4.321920704113884,2.292962917529243
Mar-2014,4.601901555075921,2.606811529520074,0.3496218014725134,1.729870901615812,2.6050093218915333,2.0764806780218383,7.592619755052537,1.3409394469349705,2.5578502006781147,0.023659075521843098,-0.6280396075255846,0.7699789457050055,2.5078117549765286,6.908207407006923,5.076849534486543,1.7951896396260334,4.162447821520167,-0.9048014190886625,1.1338989762161438,3.183951266092345,1.6941252953003594,5.363094778913844,0.661841138458311,1.5422784816596047,4.239191347187578,,-0.04841507871446482,2.222739484623937,1.2358529702839602,3.185616654145637,1.9371989814877826,-18.14845155241236,6.678000374681712,-5.115986122042355,2.32480524813484
Apr-2014,4.532108000767649,2.606905849898505,0.39948596905332806,1.5337244757960415,2.6479625138848797,2.120224773552146,7.56592277925599,1.4799160844411703,2.615140069454154,0.2431976822031081,-0.5859385754226216,0.7997716027716537,2.6178870686793596,6.988530638712068,5.677193405337176,2.3055233080210584,4.123516472926464,-0.7607607988126905,0.9998680222843814,3.186911670649346,1.8236674085141642,5.466075125580754,0.7836898195211157,1.6232150443622022,4.219549239095841,,0.08608178217990803,1.8418425029472596,1.155919250521034,3.2857456361106534,2.0524948685003648,-16.894353689474865,6.399874740551166,-5.910051539970826,2.3566475787404366
May-2014,4.462314446459377,2.6070001702769368,0.44935013663414275,1.3375780499762713,2.6909157058782265,2.1639688690824532,7.539225803459444,1.61889272194737,2.6724299382301933,0.46273628888437335,-0.5438375433196587,0.829564259838302,2.7279623823821897,7.068853870417213,6.277537276187809,2.815856976416084,4.08458512433276,-0.6167201785367187,0.8658370683526189,3.1898720752063467,1.953209521727969,5.569055472247664,0.9055385005839203,1.7041516070648,4.199907131004103,,0.22057864307428066,1.460945521270582,1.0759855307581079,3.38587461807567,2.1677907555129465,-15.640255826537366,6.121749106420621,-6.704116957899297,2.3884899093460334
Jun-2014,4.392520892151104,2.607094490655368,0.4992143042149574,1.1414316241565008,2.7338688978715733,2.2077129646127607,7.512528827662897,1.7578693594535701,2.7297198070062323,0.6822748955656384,-0.5017365112166957,0.8593569169049502,2.8380376960850207,7.1491771021223585,6.877881147038442,3.326190644811109,4.045653775739057,-0.4726795582607468,0.7318061144208563,3.1928324797633474,2.0827516349417743,5.672035818914574,1.0273871816467248,1.7850881697673975,4.180265022912366,,0.3550755039686535,1.0800485395939048,0.9960518109951819,3.4860036000406867,2.2830866425255287,-14.386157963599869,5.843623472290075,-7.498182375827768,2.4203322399516303
Jul-2014,4.322727337842832,2.6071888110337995,0.549078471795772,0.9452851983367303,2.7768220898649196,2.251457060143068,7.48583185186635,1.89684599695977,2.7870096757822718,0.9018135022469036,-0.4596354791137327,0.8891495739715984,2.948113009787851,7.229500333827503,7.478225017889075,3.8365243132061337,4.006722427145353,-0.3286389379847747,0.597775160489094,3.1957928843203485,2.212293748155579,5.775016165581484,1.1492358627095296,1.8660247324699952,4.160622914820628,,0.48957236486302635,0.6991515579172272,0.9161180912322558,3.5861325820057033,2.3983825295381105,-13.13206010066237,5.565497838159528,-8.292247793756239,2.452174570557227
Aug-2014,4.25293378353456,2.6072831314122307,0.5989426393765866,0.74913877251696,2.8197752818582664,2.2952011556733756,7.459134876069804,2.03582263446597,2.844299544558311,1.1213521089281684,-0.41753444701076975,0.9189422310382467,3.0581883234906817,7.309823565532648,8.078568888739708,4.346857981601159,3.9677910785516493,-0.18459831770880286,0.4637442065573314,3.198753288877349,2.341835861369384,5.877996512248393,1.2710845437723342,1.9469612951725928,4.140980806728892,,0.6240692257573992,0.31825457624055,0.8361843714693297,3.6862615639707195,2.5136784165506922,-11.877962237724873,5.287372204028983,-9.086313211684711,2.484016901162824
Sep-2014,4.1831402292262885,2.607377451790662,0.6488068069574013,0.5529923466971893,2.862728473851613,2.338945251203683,7.432437900273257,2.17479927197217,2.9015894133343503,1.3408907156094336,-0.3754334149078068,0.9487348881048949,3.1682636371935122,7.390146797237794,8.678912759590341,4.857191649996184,3.9288597299579457,-0.040557697432831,0.32971325262556883,3.2017136934343498,2.471377974583189,5.9809768589153025,1.3929332248351387,2.0278978578751907,4.121338698637154,,0.7585660866517718,-0.06264240543612765,0.7562506517064036,3.7863905459357357,2.6289743035632744,-10.623864374787374,5.009246569898437,-9.880378629613181,2.5158592317684207
Oct-2014,4.3198730780561005,2.58354274491367,0.6820510098556934,0.26573696771657074,2.742672902547549,2.3083957699042945,7.403149845877794,2.167330966422779,3.001565245074743,1.5394661619500494,-0.311463017549857,0.9654024222658595,3.138398692478507,7.44469973342889,9.74936664547563,4.607736243184949,3.8348150925843165,0.041502568993833804,0.3705832307665346,3.1793155283187606,2.515443498334865,5.9528872676977995,1.4549115319217953,2.0369089237203806,4.122399578914857,,0.85100534562151,0.070319603380184,0.5769150777909807,3.852460219176914,2.7655325878216255,-9.94971942106353,5.007054675664085,-10.060900409317199,2.548627499133497
