Date,GDP-ARE,GDP-AUS,GDP-AUT,GDP-BRA,GDP-CAN,GDP-CHE,GDP-CHN,GDP-DEU,GDP-EGY,GDP-ESP,GDP-FIN,GDP-FRA,GDP-GBR,GDP-IND,GDP-IRL,GDP-IRN,GDP-ISR,GDP-ITA,GDP-JPN,GDP-KOR,GDP-MEX,GDP-MYS,GDP-NLD,GDP-NOR,GDP-PAK,GDP-PRK,GDP-PRT,GDP-PSE,GDP-RUS,GDP-SAU,GDP-SWE,GDP-SYR,GDP-TUR,GDP-UKR,GDP-USA
Aug-13,4.928850683,2.657657709,0.051188668,2.962326721,2.303454662,1.768109146,7.769977013,0.43684253,2.187063455,-1.464345016,-0.921141391,0.566005423,1.781365923,6.349646838,1.1234651,-1.609241644,4.343821284,-1.885765071,1.980380601,3.134819317,0.95802741,4.724300238,-0.165476414,1.082926841,4.314344221,,-1.045572084,4.753388952,1.844389365,2.647489558,1.118125509,-26.30161431,8.340823887,0.049630305,2.124547091
Sep-13,5.020662881,2.606245607,0.050436796,2.906749457,2.34729017,1.814016105,7.75280161,0.507079622,2.214110988,-1.293572565,-0.8806458,0.591223003,1.847359873,6.426268017,1.474786309,-1.266812371,4.396035913,-1.769045141,1.9380847,3.166188839,0.916872616,4.745212699,-0.069250948,1.056659105,4.357043996,,-0.855396244,4.508121375,1.715455289,2.584842762,1.245423659,-25.67303873,8.346754179,-0.351593614,2.133751265
Oct-13,4.950869327,2.606339928,0.100300964,2.710603031,2.390243362,1.8577602,7.726104634,0.646056259,2.271400857,-1.074033958,-0.838544768,0.62101566,1.957435186,6.506591248,2.07513018,-0.756478702,4.357104564,-1.62500452,1.804053746,3.169149243,1.046414729,4.848193046,0.052597733,1.137595668,4.337401888,,-0.720899383,4.127224393,1.635521569,2.684971744,1.360719546,-24.41894087,8.068628545,-1.145659032,2.165593595
Nov-13,4.881075772,2.606434248,0.150165131,2.514456605,2.433196554,1.901504296,7.699407658,0.785032897,2.328690726,-0.854495351,-0.796443736,0.650808317,2.0675105,6.58691448,2.675474051,-0.246145034,4.318173216,-1.4809639,1.670022792,3.172109648,1.175956842,4.951173392,0.174446414,1.218532231,4.31775978,,-0.586402522,3.746327411,1.555587849,2.785100726,1.476015433,-23.164843,7.790502911,-1.93972445,2.197435926
Dec-13,4.811282218,2.606528568,0.200029299,2.318310179,2.476149746,1.945248391,7.672710682,0.924009534,2.385980594,-0.634956745,-0.754342704,0.680600975,2.177585814,6.667237712,3.275817922,0.264188634,4.279241867,-1.33692328,1.535991838,3.175070052,1.305498956,5.054153739,0.296295095,1.299468794,4.298117671,,-0.451905661,3.36543043,1.47565413,2.885229708,1.59131132,-21.91074514,7.512377277,-2.733789868,2.229278256
Jan-14,4.741488664,2.606622889,0.249893466,2.122163753,2.519102938,1.988992487,7.646013707,1.062986172,2.443270463,-0.415418138,-0.712241672,0.710393632,2.287661128,6.747560944,3.876161793,0.774522303,4.240310519,-1.19288266,1.401960884,3.178030457,1.435041069,5.157134086,0.418143776,1.380405356,4.278475563,,-0.317408801,2.984533448,1.39572041,2.98535869,1.706607207,-20.65664728,7.234251643,-3.527855286,2.261120587
Feb-14,4.671695109,2.606717209,0.299757634,1.926017327,2.56205613,2.032736582,7.619316731,1.201962809,2.500560332,-0.195879531,-0.67014064,0.740186289,2.397736441,6.827884175,4.476505664,1.284855971,4.20137917,-1.048842039,1.26792993,3.180990862,1.564583182,5.260114432,0.539992457,1.461341919,4.258833455,,-0.18291194,2.603636466,1.31578669,3.085487672,1.821903094,-19.40254942,6.956126009,-4.321920704,2.292962918
Mar-14,4.601901555,2.60681153,0.349621801,1.729870902,2.605009322,2.076480678,7.592619755,1.340939447,2.557850201,0.023659076,-0.628039608,0.769978946,2.507811755,6.908207407,5.076849534,1.79518964,4.162447822,-0.904801419,1.133898976,3.183951266,1.694125295,5.363094779,0.661841138,1.542278482,4.239191347,,-0.048415079,2.222739485,1.23585297,3.185616654,1.937198981,-18.14845155,6.678000375,-5.115986122,2.324805248
Apr-14,4.532108001,2.60690585,0.399485969,1.533724476,2.647962514,2.120224774,7.565922779,1.479916084,2.615140069,0.243197682,-0.585938575,0.799771603,2.617887069,6.988530639,5.677193405,2.305523308,4.123516473,-0.760760799,0.999868022,3.186911671,1.823667409,5.466075126,0.78368982,1.623215044,4.219549239,,0.086081782,1.841842503,1.155919251,3.285745636,2.052494869,-16.89435369,6.399874741,-5.91005154,2.356647579
May-14,4.462314446,2.60700017,0.449350137,1.33757805,2.690915706,2.163968869,7.539225803,1.618892722,2.672429938,0.462736289,-0.543837543,0.82956426,2.727962382,7.06885387,6.277537276,2.815856976,4.084585124,-0.616720179,0.865837068,3.189872075,1.953209522,5.569055472,0.905538501,1.704151607,4.199907131,,0.220578643,1.460945521,1.075985531,3.385874618,2.167790756,-15.64025583,6.121749106,-6.704116958,2.388489909
Jun-14,4.392520892,2.607094491,0.499214304,1.141431624,2.733868898,2.207712965,7.512528828,1.757869359,2.729719807,0.682274896,-0.501736511,0.859356917,2.838037696,7.149177102,6.877881147,3.326190645,4.045653776,-0.472679558,0.731806114,3.19283248,2.082751635,5.672035819,1.027387182,1.78508817,4.180265023,,0.355075504,1.08004854,0.996051811,3.4860036,2.283086643,-14.38615796,5.843623472,-7.498182376,2.42033224
Jul-14,4.322727338,2.607188811,0.549078472,0.945285198,2.77682209,2.25145706,7.485831852,1.896845997,2.787009676,0.901813502,-0.459635479,0.889149574,2.94811301,7.229500334,7.478225018,3.836524313,4.006722427,-0.328638938,0.59777516,3.195792884,2.212293748,5.775016166,1.149235863,1.866024732,4.160622915,,0.489572365,0.699151558,0.916118091,3.586132582,2.39838253,-13.1320601,5.565497838,-8.292247794,2.452174571
Aug-14,4.252933784,2.607283131,0.598942639,0.749138773,2.819775282,2.295201156,7.459134876,2.035822634,2.844299545,1.121352109,-0.417534447,0.918942231,3.058188323,7.309823566,8.078568889,4.346857982,3.967791079,-0.184598318,0.463744207,3.198753289,2.341835861,5.877996512,1.271084544,1.946961295,4.140980807,,0.624069226,0.318254576,0.836184371,3.686261564,2.513678417,-11.87796224,5.287372204,-9.086313212,2.484016901
Sep-14,4.183140229,2.607377452,0.648806807,0.552992347,2.862728474,2.338945251,7.4324379,2.174799272,2.901589413,1.340890716,-0.375433415,0.948734888,3.168263637,7.390146797,8.67891276,4.85719165,3.92885973,-0.040557697,0.329713253,3.201713693,2.471377975,5.980976859,1.392933225,2.027897858,4.121338699,,0.758566087,-0.062642405,0.756250652,3.786390546,2.628974304,-10.62386437,5.00924657,-9.88037863,2.515859232
Oct-14,4.319873078,2.583542745,0.68205101,0.265736968,2.742672903,2.30839577,7.403149846,2.167330966,3.001565245,1.539466162,-0.311463018,0.965402422,3.138398692,7.444699733,9.749366645,4.607736243,3.834815093,0.041502569,0.370583231,3.179315528,2.515443498,5.952887268,1.454911532,2.036908924,4.122399579,,0.851005346,0.070319603,0.576915078,3.852460219,2.765532588,-9.949719421,5.007054676,-10.06090041,2.548627499
Nov-14,4.525448061,2.551731696,0.709755225,-0.051888062,2.568281077,2.253081763,7.372998099,2.11104768,3.115769731,1.731053888,-0.240202832,0.977694915,3.061886995,7.490662571,10.97652387,4.105017811,3.722399359,0.102902717,0.46975352,3.148464507,2.531016826,5.881107697,1.496933048,2.021944824,4.130361455,,0.929425404,0.374567942,0.364445552,3.90717679,2.909178338,-9.468892104,5.096840695,-10.03690764,2.581704412
Dec-14,4.731023044,2.519920646,0.737459439,-0.369513092,2.393889251,2.197767756,7.342846351,2.054764393,3.229974217,1.922641614,-0.168942646,0.989987409,2.985375297,7.536625409,12.20368109,3.602299379,3.609983625,0.164302866,0.568923808,3.117613485,2.546590153,5.809328127,1.538954563,2.006980724,4.138323332,,1.007845462,0.678816281,0.151976027,3.96189336,3.052824088,-8.988064786,5.186626714,-10.01291488,2.614781325
Jan-15,4.936598028,2.488109597,0.765163654,-0.687138122,2.219497425,2.142453749,7.312694604,1.998481107,3.344178703,2.114229341,-0.09768246,1.002279902,2.9088636,7.582588246,13.43083832,3.099580948,3.497567892,0.225703014,0.668094097,3.086762463,2.56216348,5.737548556,1.580976079,1.992016624,4.146285208,,1.086265521,0.98306462,-0.060493498,4.01660993,3.196469838,-8.507237469,5.276412733,-9.98892211,2.647858238
Feb-15,5.142173011,2.456298548,0.792867869,-1.004763152,2.0451056,2.087139742,7.282542857,1.94219782,3.458383189,2.305817067,-0.026422274,1.014572395,2.832351902,7.628551084,14.65799554,2.596862516,3.385152158,0.287103163,0.767264386,3.055911442,2.577736807,5.665768986,1.622997595,1.977052525,4.154247085,,1.164685579,1.287312959,-0.272963023,4.071326501,3.340115588,-8.026410152,5.366198752,-9.964929344,2.680935151
Mar-15,5.347747994,2.424487498,0.820572083,-1.322388182,1.870713774,2.031825735,7.25239111,1.885914534,3.572587675,2.497404793,0.044837911,1.026864888,2.755840205,7.674513922,15.88515277,2.094144084,3.272736424,0.348503311,0.866434675,3.02506042,2.593310135,5.593989415,1.665019111,1.962088425,4.162208961,,1.243105637,1.591561298,-0.485432549,4.126043071,3.483761338,-7.545582834,5.455984771,-9.940936577,2.714012064
Apr-15,5.553322977,2.392676449,0.848276298,-1.640013212,1.696321948,1.976511728,7.222239362,1.829631247,3.686792161,2.688992519,0.116098097,1.039157381,2.679328507,7.72047676,17.11230999,1.591425652,3.160320691,0.40990346,0.965604964,2.994209398,2.608883462,5.522209845,1.707040626,1.947124325,4.170170837,,1.321525696,1.895809637,-0.697902074,4.180759641,3.627407088,-7.064755517,5.54577079,-9.916943811,2.747088977
May-15,5.758897961,2.3608654,0.875980513,-1.957638243,1.521930122,1.921197722,7.192087615,1.77334796,3.800996648,2.880580246,0.187358283,1.051449875,2.60281681,7.766439597,18.33946722,1.08870722,3.047904957,0.471303608,1.064775253,2.963358377,2.624456789,5.450430274,1.749062142,1.932160225,4.178132714,,1.399945754,2.200057976,-0.910371599,4.235476212,3.771052838,-6.5839282,5.635556809,-9.892951045,2.78016589
Jun-15,5.964472944,2.329054351,0.903684727,-2.275263273,1.347538297,1.865883715,7.161935868,1.717064674,3.915201134,3.072167972,0.258618469,1.063742368,2.526305112,7.812402435,19.56662444,0.585988788,2.935489224,0.532703757,1.163945541,2.932507355,2.640030116,5.378650704,1.791083658,1.917196126,4.18609459,,1.478365812,2.504306315,-1.122841125,4.290192782,3.914698588,-6.103100883,5.725342828,-9.868958278,2.813242803
Jul-15,6.170047927,2.297243301,0.931388942,-2.592888303,1.173146471,1.810569708,7.131784121,1.660781387,4.02940562,3.263755698,0.329878654,1.076034861,2.449793415,7.858365273,20.79378166,0.083270356,2.82307349,0.594103905,1.26311583,2.901656333,2.655603444,5.306871133,1.833105174,1.902232026,4.194056467,,1.556785871,2.808554654,-1.33531065,4.344909352,4.058344338,-5.622273565,5.815128847,-9.844965512,2.846319716
Aug-15,6.37562291,2.265432252,0.959093157,-2.910513333,0.998754645,1.755255701,7.101632373,1.604498101,4.143610106,3.455343424,0.40113884,1.088327354,2.373281717,7.90432811,22.02093889,-0.419448076,2.710657756,0.655504054,1.362286119,2.870805312,2.671176771,5.235091563,1.87512669,1.887267926,4.202018343,,1.635205929,3.112802993,-1.547780175,4.399625923,4.201990088,-5.141446248,5.904914866,-9.820972746,2.879396629
